split,group,rule1,rule2,rule3,rule4,a,b,c
train,T1,T1_1,T1_2,T1_3,T1_4,14,14,0
train,T1,T1_1,T1_2,T1_3,T1_4,4,4,64
train,T1,T1_1,T1_2,T1_3,T1_4,12,-12,-12
train,T1,T1_1,T1_2,T1_3,T1_4,8,-32,-32
train,T1,T1_1,T1_2,T1_3,T1_4,78,-78,-78
train,T1,T1_1,T1_2,T1_3,T1_4,-54,-54,54
train,T1,T1_1,T1_2,T1_3,T1_4,-38,38,-38
train,T1,T1_1,T1_2,T1_3,T1_4,2,-58,-58
train,T1,T1_1,T1_2,T1_3,T1_4,16,16,80
train,T1,T1_1,T1_2,T1_3,T1_4,12,12,-96
train,T1,T1_1,T1_2,T1_3,T1_4,-46,-92,-92
train,T1,T1_1,T1_2,T1_3,T1_4,22,-66,-66
train,T1,T1_1,T1_2,T1_3,T1_4,-82,82,82
train,T1,T1_1,T1_2,T1_3,T1_4,-10,80,80
train,T1,T1_1,T1_2,T1_3,T1_4,-24,-96,-96
train,T1,T1_1,T1_2,T1_3,T1_4,-4,-4,76
train,T1,T1_1,T1_2,T1_3,T1_4,-10,70,70
train,T1,T1_1,T1_2,T1_3,T1_4,2,2,28
train,T1,T1_1,T1_2,T1_3,T1_4,52,52,-52
train,T1,T1_1,T1_2,T1_3,T1_4,6,42,42
train,T1,T1_1,T1_2,T1_3,T1_4,-2,-44,-44
train,T1,T1_1,T1_2,T1_3,T1_4,-86,-86,86
train,T1,T1_1,T1_2,T1_3,T1_4,100,100,0
train,T1,T1_1,T1_2,T1_3,T1_4,10,10,100
train,T1,T1_1,T1_2,T1_3,T1_4,-2,-2,-60
train,T1,T1_1,T1_2,T1_3,T1_4,2,2,-56
train,T1,T1_1,T1_2,T1_3,T1_4,6,84,84
train,T1,T1_1,T1_2,T1_3,T1_4,94,94,-94
train,T1,T1_1,T1_2,T1_3,T1_4,-6,-12,-12
train,T1,T1_1,T1_2,T1_3,T1_4,6,-6,-6
train,T1,T1_1,T1_2,T1_3,T1_4,-52,-52,52
train,T1,T1_1,T1_2,T1_3,T1_4,80,-80,80
train,T1,T1_1,T1_2,T1_3,T1_4,6,6,-36
train,T1,T1_1,T1_2,T1_3,T1_4,40,-40,-40
train,T1,T1_1,T1_2,T1_3,T1_4,16,-64,-64
train,T1,T1_1,T1_2,T1_3,T1_4,-2,-72,-72
train,T1,T1_1,T1_2,T1_3,T1_4,-8,-8,72
train,T1,T1_1,T1_2,T1_3,T1_4,10,30,30
train,T1,T1_1,T1_2,T1_3,T1_4,-10,-70,-70
train,T1,T1_1,T1_2,T1_3,T1_4,4,4,92
train,T1,T1_1,T1_2,T1_3,T1_4,4,4,72
train,T1,T1_1,T1_2,T1_3,T1_4,4,4,88
train,T1,T1_1,T1_2,T1_3,T1_4,-10,-10,-70
train,T1,T1_1,T1_2,T1_3,T1_4,18,18,54
train,T1,T1_1,T1_2,T1_3,T1_4,-48,-48,-96
train,T1,T1_1,T1_2,T1_3,T1_4,50,50,-50
train,T1,T1_1,T1_2,T1_3,T1_4,4,-92,-92
train,T1,T1_1,T1_2,T1_3,T1_4,30,-30,30
train,T1,T1_1,T1_2,T1_3,T1_4,44,44,88
train,T1,T1_1,T1_2,T1_3,T1_4,8,8,-32
train,T1,T1_1,T1_2,T1_3,T1_4,2,2,40
train,T1,T1_1,T1_2,T1_3,T1_4,-74,74,-74
train,T1,T1_1,T1_2,T1_3,T1_4,4,4,36
train,T1,T1_1,T1_2,T1_3,T1_4,2,74,74
train,T1,T1_1,T1_2,T1_3,T1_4,6,-96,-96
train,T1,T1_1,T1_2,T1_3,T1_4,56,-56,-56
train,T1,T1_1,T1_2,T1_3,T1_4,16,32,32
train,T1,T1_1,T1_2,T1_3,T1_4,40,40,80
train,T1,T1_1,T1_2,T1_3,T1_4,-2,-2,20
train,T1,T1_1,T1_2,T1_3,T1_4,44,-44,44
train,T1,T1_1,T1_2,T1_3,T1_4,6,6,0
train,T1,T1_1,T1_2,T1_3,T1_4,6,48,48
train,T1,T1_1,T1_2,T1_3,T1_4,16,-96,-96
train,T1,T1_1,T1_2,T1_3,T1_4,-4,-64,-64
train,T1,T1_1,T1_2,T1_3,T1_4,-4,-24,-24
train,T1,T1_1,T1_2,T1_3,T1_4,-40,-40,0
train,T1,T1_1,T1_2,T1_3,T1_4,32,-64,-64
train,T1,T1_1,T1_2,T1_3,T1_4,-18,-36,-36
train,T1,T1_1,T1_2,T1_3,T1_4,-44,-44,0
train,T1,T1_1,T1_2,T1_3,T1_4,-12,-12,-36
train,T1,T1_1,T1_2,T1_3,T1_4,-2,-36,-36
train,T1,T1_1,T1_2,T1_3,T1_4,-34,-34,0
train,T1,T1_1,T1_2,T1_3,T1_4,-10,-10,80
train,T1,T1_1,T1_2,T1_3,T1_4,2,2,-26
train,T1,T1_1,T1_2,T1_3,T1_4,4,88,88
train,T1,T1_1,T1_2,T1_3,T1_4,-4,-96,-96
train,T1,T1_1,T1_2,T1_3,T1_4,-48,96,96
train,T1,T1_1,T1_2,T1_3,T1_4,6,6,-48
train,T1,T1_1,T1_2,T1_3,T1_4,-16,96,96
train,T1,T1_1,T1_2,T1_3,T1_4,2,2,-78
train,T1,T1_1,T1_2,T1_3,T1_4,-2,-2,6
train,T1,T1_1,T1_2,T1_3,T1_4,10,10,0
train,T1,T1_1,T1_2,T1_3,T1_4,34,34,68
train,T1,T1_1,T1_2,T1_3,T1_4,-56,56,56
train,T1,T1_1,T1_2,T1_3,T1_4,2,2,-66
train,T1,T1_1,T1_2,T1_3,T1_4,-4,-4,96
train,T1,T1_1,T1_2,T1_3,T1_4,46,92,92
train,T1,T1_1,T1_2,T1_3,T1_4,-14,-14,-42
train,T1,T1_1,T1_2,T1_3,T1_4,-46,-46,92
train,T1,T1_1,T1_2,T1_3,T1_4,14,-14,-14
train,T1,T1_1,T1_2,T1_3,T1_4,2,2,64
train,T1,T1_1,T1_2,T1_3,T1_4,-2,-2,-4
train,T1,T1_1,T1_2,T1_3,T1_4,-2,32,32
train,T1,T1_1,T1_2,T1_3,T1_4,-40,40,40
train,T1,T1_1,T1_2,T1_3,T1_4,-8,-8,-24
train,T1,T1_1,T1_2,T1_3,T1_4,-2,-2,18
train,T1,T1_1,T1_2,T1_3,T1_4,18,-72,-72
train,T1,T1_1,T1_2,T1_3,T1_4,22,-22,22
train,T1,T1_1,T1_2,T1_3,T1_4,14,84,84
train,T1,T1_1,T1_2,T1_3,T1_4,10,-10,-10
train,T1,T1_1,T1_2,T1_3,T1_4,-4,-12,-12
train,T1,T1_1,T1_2,T1_3,T1_4,34,68,68
train,T1,T1_1,T1_2,T1_3,T1_4,-18,18,-18
train,T1,T1_1,T1_2,T1_3,T1_4,2,60,60
train,T1,T1_1,T1_2,T1_3,T1_4,-2,78,78
train,T1,T1_1,T1_2,T1_3,T1_4,10,60,60
train,T1,T1_1,T1_2,T1_3,T1_4,2,2,-68
train,T1,T1_1,T1_2,T1_3,T1_4,6,6,-66
train,T1,T1_1,T1_2,T1_3,T1_4,-6,96,96
train,T1,T1_1,T1_2,T1_3,T1_4,-14,-14,98
train,T1,T1_1,T1_2,T1_3,T1_4,-8,96,96
train,T1,T1_1,T1_2,T1_3,T1_4,32,32,-32
train,T1,T1_1,T1_2,T1_3,T1_4,-2,82,82
train,T1,T1_1,T1_2,T1_3,T1_4,12,12,24
train,T1,T1_1,T1_2,T1_3,T1_4,-10,30,30
train,T1,T1_1,T1_2,T1_3,T1_4,66,66,-66
train,T1,T1_1,T1_2,T1_3,T1_4,12,12,36
train,T1,T1_1,T1_2,T1_3,T1_4,2,-16,-16
train,T1,T1_1,T1_2,T1_3,T1_4,-14,-14,70
train,T1,T1_1,T1_2,T1_3,T1_4,36,-72,-72
train,T1,T1_1,T1_2,T1_3,T1_4,2,2,96
train,T1,T1_1,T1_2,T1_3,T1_4,12,12,-48
train,T1,T1_1,T1_2,T1_3,T1_4,28,-28,-28
train,T1,T1_1,T1_2,T1_3,T1_4,12,60,60
train,T1,T1_1,T1_2,T1_3,T1_4,-2,-14,-14
train,T1,T1_1,T1_2,T1_3,T1_4,-58,-58,0
train,T1,T1_1,T1_2,T1_3,T1_4,-68,-68,68
train,T1,T1_1,T1_2,T1_3,T1_4,4,84,84
train,T1,T1_1,T1_2,T1_3,T1_4,10,-30,-30
train,T1,T1_1,T1_2,T1_3,T1_4,-10,-10,90
train,T2,T2_1,T2_2,T2_3,T2_4,-26,6,96
train,T2,T2_1,T2_2,T2_3,T2_4,-56,-26,16
train,T2,T2_1,T2_2,T2_3,T2_4,-56,-26,96
train,T2,T2_1,T2_2,T2_3,T2_4,-36,-6,86
train,T2,T2_1,T2_2,T2_3,T2_4,-46,-16,56
train,T2,T2_1,T2_2,T2_3,T2_4,-66,-56,-36
train,T2,T2_1,T2_2,T2_3,T2_4,-56,-36,96
train,T2,T2_1,T2_2,T2_3,T2_4,-26,16,86
train,T2,T2_1,T2_2,T2_3,T2_4,-36,-26,26
train,T2,T2_1,T2_2,T2_3,T2_4,-36,-26,36
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-26,36
train,T2,T2_1,T2_2,T2_3,T2_4,-66,-6,56
train,T2,T2_1,T2_2,T2_3,T2_4,-66,-56,86
train,T2,T2_1,T2_2,T2_3,T2_4,-36,-26,86
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-76,-46
train,T2,T2_1,T2_2,T2_3,T2_4,-16,16,56
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-86,-46
train,T2,T2_1,T2_2,T2_3,T2_4,-46,-36,76
train,T2,T2_1,T2_2,T2_3,T2_4,26,46,96
train,T2,T2_1,T2_2,T2_3,T2_4,-66,-16,96
train,T2,T2_1,T2_2,T2_3,T2_4,6,16,66
train,T2,T2_1,T2_2,T2_3,T2_4,-36,-16,26
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-36,56
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-66,36
train,T2,T2_1,T2_2,T2_3,T2_4,16,26,46
train,T2,T2_1,T2_2,T2_3,T2_4,-36,-26,16
train,T2,T2_1,T2_2,T2_3,T2_4,-76,-46,96
train,T2,T2_1,T2_2,T2_3,T2_4,-16,-6,6
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-56,-16
train,T2,T2_1,T2_2,T2_3,T2_4,-66,-46,26
train,T2,T2_1,T2_2,T2_3,T2_4,-56,-36,56
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-56,76
train,T2,T2_1,T2_2,T2_3,T2_4,26,36,66
train,T2,T2_1,T2_2,T2_3,T2_4,-76,-26,86
train,T2,T2_1,T2_2,T2_3,T2_4,-46,-16,26
train,T2,T2_1,T2_2,T2_3,T2_4,-56,-6,96
train,T2,T2_1,T2_2,T2_3,T2_4,-66,-6,66
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-66,-6
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-16,76
train,T2,T2_1,T2_2,T2_3,T2_4,-66,-36,26
train,T2,T2_1,T2_2,T2_3,T2_4,26,56,96
train,T2,T2_1,T2_2,T2_3,T2_4,-56,-36,-6
train,T2,T2_1,T2_2,T2_3,T2_4,-46,-36,6
train,T2,T2_1,T2_2,T2_3,T2_4,-56,-16,86
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-76,6
train,T2,T2_1,T2_2,T2_3,T2_4,-56,-16,76
train,T2,T2_1,T2_2,T2_3,T2_4,-66,-6,96
train,T2,T2_1,T2_2,T2_3,T2_4,-66,-46,86
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-26,76
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-86,16
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-26,66
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-26,56
train,T2,T2_1,T2_2,T2_3,T2_4,-66,-56,46
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-66,66
train,T2,T2_1,T2_2,T2_3,T2_4,-16,6,76
train,T2,T2_1,T2_2,T2_3,T2_4,66,76,96
train,T2,T2_1,T2_2,T2_3,T2_4,-56,-6,56
train,T2,T2_1,T2_2,T2_3,T2_4,-46,-6,66
train,T2,T2_1,T2_2,T2_3,T2_4,-56,-26,26
train,T2,T2_1,T2_2,T2_3,T2_4,-66,-46,46
train,T2,T2_1,T2_2,T2_3,T2_4,-16,26,76
train,T2,T2_1,T2_2,T2_3,T2_4,-66,-56,6
train,T2,T2_1,T2_2,T2_3,T2_4,-46,-6,76
train,T2,T2_1,T2_2,T2_3,T2_4,-46,-16,76
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-86,36
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-76,-26
train,T2,T2_1,T2_2,T2_3,T2_4,-36,-16,86
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-76,66
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-16,96
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-56,36
train,T2,T2_1,T2_2,T2_3,T2_4,-46,16,96
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-66,86
train,T2,T2_1,T2_2,T2_3,T2_4,-56,-6,46
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-76,-6
train,T2,T2_1,T2_2,T2_3,T2_4,-46,-16,16
train,T2,T2_1,T2_2,T2_3,T2_4,-56,-16,26
train,T2,T2_1,T2_2,T2_3,T2_4,-36,-6,56
train,T2,T2_1,T2_2,T2_3,T2_4,-76,-6,66
train,T2,T2_1,T2_2,T2_3,T2_4,-66,-56,26
train,T2,T2_1,T2_2,T2_3,T2_4,6,46,96
train,T2,T2_1,T2_2,T2_3,T2_4,46,66,96
train,T2,T2_1,T2_2,T2_3,T2_4,-76,-36,66
train,T2,T2_1,T2_2,T2_3,T2_4,-46,-36,16
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-16,86
train,T2,T2_1,T2_2,T2_3,T2_4,-36,-26,-6
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-6,86
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-86,56
train,T2,T2_1,T2_2,T2_3,T2_4,-46,-26,6
train,T2,T2_1,T2_2,T2_3,T2_4,-76,-26,96
train,T2,T2_1,T2_2,T2_3,T2_4,-76,-56,6
train,T2,T2_1,T2_2,T2_3,T2_4,-36,-16,96
train,T2,T2_1,T2_2,T2_3,T2_4,56,66,86
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-56,66
train,T2,T2_1,T2_2,T2_3,T2_4,-36,-16,56
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-76,-56
train,T2,T2_1,T2_2,T2_3,T2_4,-6,26,86
train,T2,T2_1,T2_2,T2_3,T2_4,46,56,96
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-86,6
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-26,96
train,T2,T2_1,T2_2,T2_3,T2_4,-16,-6,46
train,T2,T2_1,T2_2,T2_3,T2_4,-56,6,76
train,T2,T2_1,T2_2,T2_3,T2_4,-26,-6,76
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-76,76
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-16,66
train,T2,T2_1,T2_2,T2_3,T2_4,26,36,96
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-76,86
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-56,86
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-66,56
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-16,76
train,T2,T2_1,T2_2,T2_3,T2_4,26,36,76
train,T2,T2_1,T2_2,T2_3,T2_4,6,16,76
train,T2,T2_1,T2_2,T2_3,T2_4,-6,26,76
train,T2,T2_1,T2_2,T2_3,T2_4,-56,-46,36
train,T2,T2_1,T2_2,T2_3,T2_4,-56,-36,16
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-56,76
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-76,86
train,T2,T2_1,T2_2,T2_3,T2_4,-76,-16,56
train,T2,T2_1,T2_2,T2_3,T2_4,16,26,96
train,T2,T2_1,T2_2,T2_3,T2_4,-46,-36,56
train,T2,T2_1,T2_2,T2_3,T2_4,-36,-16,76
train,T2,T2_1,T2_2,T2_3,T2_4,-76,-26,36
train,T2,T2_1,T2_2,T2_3,T2_4,-76,-66,16
train,T2,T2_1,T2_2,T2_3,T2_4,36,46,76
train,T2,T2_1,T2_2,T2_3,T2_4,26,46,86
train,T2,T2_1,T2_2,T2_3,T2_4,36,46,66
train,T2,T2_1,T2_2,T2_3,T2_4,-46,6,86
train,T2,T2_1,T2_2,T2_3,T2_4,-6,26,66
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-66,26
train,T2,T2_1,T2_2,T2_3,T2_4,-36,26,96
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-66,-6
train,T2,T2_1,T2_2,T2_3,T2_4,-6,16,96
train,T2,T2_1,T2_2,T2_3,T2_4,-56,6,86
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-36,56
train,T2,T2_1,T2_2,T2_3,T2_4,-76,-56,46
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-36,26
train,T2,T2_1,T2_2,T2_3,T2_4,-56,-46,56
train,T2,T2_1,T2_2,T2_3,T2_4,-76,-46,26
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-86,76
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-86,-66
train,T2,T2_1,T2_2,T2_3,T2_4,-46,-36,46
train,T2,T2_1,T2_2,T2_3,T2_4,-26,-6,36
train,T2,T2_1,T2_2,T2_3,T2_4,-26,-6,26
train,T2,T2_1,T2_2,T2_3,T2_4,-66,-16,46
train,T2,T2_1,T2_2,T2_3,T2_4,-26,-6,86
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-46,26
train,T2,T2_1,T2_2,T2_3,T2_4,-56,-6,66
train,T2,T2_1,T2_2,T2_3,T2_4,-76,-36,26
train,T2,T2_1,T2_2,T2_3,T2_4,16,46,96
train,T2,T2_1,T2_2,T2_3,T2_4,-66,-26,26
train,T2,T2_1,T2_2,T2_3,T2_4,-66,6,86
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-36,96
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-26,96
train,T2,T2_1,T2_2,T2_3,T2_4,-16,-6,86
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-86,-36
train,T2,T2_1,T2_2,T2_3,T2_4,-26,-16,66
train,T2,T2_1,T2_2,T2_3,T2_4,-26,16,96
train,T2,T2_1,T2_2,T2_3,T2_4,16,26,86
train,T2,T2_1,T2_2,T2_3,T2_4,-76,-46,-6
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-76,-26
train,T2,T2_1,T2_2,T2_3,T2_4,-56,16,96
train,T2,T2_1,T2_2,T2_3,T2_4,-76,-66,-16
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-86,-6
train,T2,T2_1,T2_2,T2_3,T2_4,16,36,86
train,T2,T2_1,T2_2,T2_3,T2_4,16,26,76
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-76,66
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-56,-6
train,T2,T2_1,T2_2,T2_3,T2_4,-96,-76,56
train,T2,T2_1,T2_2,T2_3,T2_4,-76,-46,6
train,T2,T2_1,T2_2,T2_3,T2_4,-76,-16,86
train,T2,T2_1,T2_2,T2_3,T2_4,-56,-26,66
train,T2,T2_1,T2_2,T2_3,T2_4,-76,-26,66
train,T2,T2_1,T2_2,T2_3,T2_4,-26,-16,76
train,T2,T2_1,T2_2,T2_3,T2_4,-26,-16,26
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-76,-36
train,T2,T2_1,T2_2,T2_3,T2_4,36,56,86
train,T2,T2_1,T2_2,T2_3,T2_4,6,16,56
train,T2,T2_1,T2_2,T2_3,T2_4,-46,-36,26
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-76,26
train,T2,T2_1,T2_2,T2_3,T2_4,-86,-76,56
train,T2,T2_1,T2_2,T2_3,T2_4,-36,16,96
train,T3,T3_1,T3_2,T3_3,T3_4,75,-20,55
train,T3,T3_1,T3_2,T3_3,T3_4,35,-60,0
train,T3,T3_1,T3_2,T3_3,T3_4,5,-65,-20
train,T3,T3_1,T3_2,T3_3,T3_4,90,15,35
train,T3,T3_1,T3_2,T3_3,T3_4,100,5,60
train,T3,T3_1,T3_2,T3_3,T3_4,90,-80,45
train,T3,T3_1,T3_2,T3_3,T3_4,25,0,20
train,T3,T3_1,T3_2,T3_3,T3_4,75,-45,-10
train,T3,T3_1,T3_2,T3_3,T3_4,40,10,40
train,T3,T3_1,T3_2,T3_3,T3_4,95,85,95
train,T3,T3_1,T3_2,T3_3,T3_4,0,-25,-10
train,T3,T3_1,T3_2,T3_3,T3_4,45,-95,-55
train,T3,T3_1,T3_2,T3_3,T3_4,85,-20,35
train,T3,T3_1,T3_2,T3_3,T3_4,35,-70,-50
train,T3,T3_1,T3_2,T3_3,T3_4,80,-95,-10
train,T3,T3_1,T3_2,T3_3,T3_4,-35,-75,-45
train,T3,T3_1,T3_2,T3_3,T3_4,75,-20,60
train,T3,T3_1,T3_2,T3_3,T3_4,90,-80,40
train,T3,T3_1,T3_2,T3_3,T3_4,90,-5,35
train,T3,T3_1,T3_2,T3_3,T3_4,60,-90,-20
train,T3,T3_1,T3_2,T3_3,T3_4,10,-45,-25
train,T3,T3_1,T3_2,T3_3,T3_4,100,-20,25
train,T3,T3_1,T3_2,T3_3,T3_4,60,-40,60
train,T3,T3_1,T3_2,T3_3,T3_4,55,-75,-55
train,T3,T3_1,T3_2,T3_3,T3_4,-10,-90,-15
train,T3,T3_1,T3_2,T3_3,T3_4,85,-55,-15
train,T3,T3_1,T3_2,T3_3,T3_4,70,-95,35
train,T3,T3_1,T3_2,T3_3,T3_4,60,-15,-5
train,T3,T3_1,T3_2,T3_3,T3_4,-30,-80,-55
train,T3,T3_1,T3_2,T3_3,T3_4,65,5,35
train,T3,T3_1,T3_2,T3_3,T3_4,95,-30,80
train,T3,T3_1,T3_2,T3_3,T3_4,95,-5,95
train,T3,T3_1,T3_2,T3_3,T3_4,60,15,45
train,T3,T3_1,T3_2,T3_3,T3_4,40,-35,0
train,T3,T3_1,T3_2,T3_3,T3_4,10,-50,-35
train,T3,T3_1,T3_2,T3_3,T3_4,90,-35,15
train,T3,T3_1,T3_2,T3_3,T3_4,-30,-50,-40
train,T3,T3_1,T3_2,T3_3,T3_4,-5,-85,-30
train,T3,T3_1,T3_2,T3_3,T3_4,75,-90,-35
train,T3,T3_1,T3_2,T3_3,T3_4,90,-65,25
train,T3,T3_1,T3_2,T3_3,T3_4,70,40,50
train,T3,T3_1,T3_2,T3_3,T3_4,-20,-70,-45
train,T3,T3_1,T3_2,T3_3,T3_4,70,50,65
train,T3,T3_1,T3_2,T3_3,T3_4,-85,-95,-90
train,T3,T3_1,T3_2,T3_3,T3_4,100,25,85
train,T3,T3_1,T3_2,T3_3,T3_4,-20,-45,-20
train,T3,T3_1,T3_2,T3_3,T3_4,100,-70,-45
train,T3,T3_1,T3_2,T3_3,T3_4,75,35,75
train,T3,T3_1,T3_2,T3_3,T3_4,80,-40,5
train,T3,T3_1,T3_2,T3_3,T3_4,5,-95,5
train,T3,T3_1,T3_2,T3_3,T3_4,95,25,70
train,T3,T3_1,T3_2,T3_3,T3_4,90,-75,-65
train,T3,T3_1,T3_2,T3_3,T3_4,100,-70,-35
train,T3,T3_1,T3_2,T3_3,T3_4,80,-65,-30
train,T3,T3_1,T3_2,T3_3,T3_4,95,-90,25
train,T3,T3_1,T3_2,T3_3,T3_4,85,30,55
train,T3,T3_1,T3_2,T3_3,T3_4,40,-50,0
train,T3,T3_1,T3_2,T3_3,T3_4,5,-55,-30
train,T3,T3_1,T3_2,T3_3,T3_4,80,-30,20
train,T3,T3_1,T3_2,T3_3,T3_4,95,-25,5
train,T3,T3_1,T3_2,T3_3,T3_4,65,25,40
train,T3,T3_1,T3_2,T3_3,T3_4,70,-80,-20
train,T3,T3_1,T3_2,T3_3,T3_4,-25,-65,-35
train,T3,T3_1,T3_2,T3_3,T3_4,25,-80,-70
train,T3,T3_1,T3_2,T3_3,T3_4,25,-75,-50
train,T3,T3_1,T3_2,T3_3,T3_4,10,-10,10
train,T3,T3_1,T3_2,T3_3,T3_4,45,-80,-70
train,T3,T3_1,T3_2,T3_3,T3_4,100,-55,-15
